abs_url,arxiv_id,authors,direction,direction_meaning,download_ok,local_pdf,pdf_url,published,summary,title
https://arxiv.org/abs/2303.13508,2303.13508,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2303.13508.pdf,https://arxiv.org/pdf/2303.13508,,,Text2Tex: Text-driven Texture Synthesis via Diffusion Models
https://arxiv.org/abs/2308.09787,2308.09787,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2308.09787.pdf,https://arxiv.org/pdf/2308.09787,,,TEXTure: Text-Guided Texturing of 3D Shapes
https://arxiv.org/abs/2303.11328,2303.11328,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2303.11328.pdf,https://arxiv.org/pdf/2303.11328,,,Fantasia3D: Disentangling Geometry and Appearance for High-quality Text-to-3D Content Creation
https://arxiv.org/abs/2209.14988,2209.14988,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2209.14988.pdf,https://arxiv.org/pdf/2209.14988,,,DreamFusion: Text-to-3D using 2D Diffusion
https://arxiv.org/abs/2211.10440,2211.10440,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2211.10440.pdf,https://arxiv.org/pdf/2211.10440,,,Magic3D: High-Resolution Text-to-3D Content Creation
https://arxiv.org/abs/2403.02151,2403.02151,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2403.02151.pdf,https://arxiv.org/pdf/2403.02151,,,TripoSR: Fast 3D Object Reconstruction from a Single Image
https://arxiv.org/abs/2306.17843,2306.17843,,mesh_texture_quality,mesh 清洁度、拓扑、法线、纹理质量、可用性门禁。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/mesh_texture_quality/2306.17843.pdf,https://arxiv.org/pdf/2306.17843,,,ProlificDreamer: High-Fidelity and Diverse Text-to-3D Generation with Variational Score Distillation
https://arxiv.org/abs/2211.12524,2211.12524,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2211.12524.pdf,https://arxiv.org/pdf/2211.12524,,,"ULIP: Learning a Unified Representation of Language, Images, and Point Clouds for 3D Understanding"
https://arxiv.org/abs/2305.10764,2305.10764,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2305.10764.pdf,https://arxiv.org/pdf/2305.10764,,,OpenShape: Scaling Up 3D Shape Representation Towards Open-World Understanding
https://arxiv.org/abs/2212.08751,2212.08751,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2212.08751.pdf,https://arxiv.org/pdf/2212.08751,,,Point-E: A System for Generating 3D Point Clouds from Complex Prompts
https://arxiv.org/abs/2305.16213,2305.16213,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2305.16213.pdf,https://arxiv.org/pdf/2305.16213,,,Shap-E: Generating Conditional 3D Implicit Functions
https://arxiv.org/abs/2307.04780,2307.04780,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2307.04780.pdf,https://arxiv.org/pdf/2307.04780,,,CLIP2Point: Transfer CLIP to Point Cloud Classification with Image-Depth Pre-training
https://arxiv.org/abs/2203.13591,2203.13591,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2203.13591.pdf,https://arxiv.org/pdf/2203.13591,,,PointCLIP: Point Cloud Understanding by CLIP
https://arxiv.org/abs/2309.00615,2309.00615,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2309.00615.pdf,https://arxiv.org/pdf/2309.00615,,,Uni3D: Exploring Unified 3D Representation at Scale
https://arxiv.org/abs/2401.07577,2401.07577,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2401.07577.pdf,https://arxiv.org/pdf/2401.07577,,,Point-Bind: Multi-modality 3D Understanding
https://arxiv.org/abs/2402.17766,2402.17766,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2402.17766.pdf,https://arxiv.org/pdf/2402.17766,,,ULIP-2: Towards Scalable Multimodal Pre-training for 3D Understanding
https://arxiv.org/abs/2401.02955,2401.02955,,multimodal_3d_alignment,3D-text/image embedding、zero-shot 分类、text-3D retrieval。,True,/Users/xiaoxia/Projects/experiments/gen3deval-replication/paper/arxiv_survey/multimodal_3d_alignment/2401.02955.pdf,https://arxiv.org/pdf/2401.02955,,,ShapeLLM: Universal 3D Object Understanding for Embodied Interaction
